4,  3,  2,  1,  0,  0, 99,  4,  4,  4,  2,  0,  0, 99, 41, 41, 41, 41,  0, 99, 99,  4,  4,  4,  0,  0,  1, 99,  4,  4,  4, 99,  0,  1, 99,  4,  4,  4,  2,  0,  0, 99, 41, 41, 41, 41,  0, 99, 99, 41, 41, 41, 41,  0, 99, 99,  4,  4,  4,  4,  0, 99, 99,  4,  4,  4,  4,  0, 99, 99 |
4,  2,  0,  4,  4,  0,  0,  4,  2, 99,  4,  4,  0,  0,  4,  2,  0,  4,  4, 99, 99,  4,  2,  0,  4,  0,  0,  1,  4,  2, 99,  4,  0,  0,  1,  4,  2,  0,  4,  4,  0,  0, 41, 41, 41, 41,  4, 99, 99, 47, 47, 47, 47,  0, 99, 99, 47, 47, 47, 47,  0, 99, 99, 47, 47, 47, 47,  0, 99, 99 |
0,  1,  0,  1,  2,  0,  0,  1,  2,  0,  1,  0,  1,  1,  1,  1,  0,  1,  2,  0,  0,  1,  2,  0,  1,  1, 99, 99, 42, 42, 42, 42,  0, 99, 99, 42, 42, 42, 42,  0, 99, 99,  1,  2,  0,  0,  1,  2,  2,  0,  2,  0,  1,  1,  0,  0,  1,  2,  0,  1,  1,  0,  0,  1,  2,  0,  1,  1,  0,  0 |
2,  0,  1,  1,  0,  2,  2,  0,  0,  1,  1,  2,  0,  0,  1,  1,  1,  1, 99,  0,  0,  2,  0,  1,  1,  1, 99, 99, 42, 42, 42, 42,  0, 99, 99,  2,  0,  1,  1,  1,  0,  0,  2,  0,  1,  1,  1,  0,  0,  2,  0,  1,  1,  1,  0,  0,  2,  0,  0,  1,  0,  1,  1,  2,  0,  1,  1,  1,  0,  0 |
0,  1,  2,  4,  1,  0,  0,  0,  1,  2,  4,  0,  1,  0,  0,  1,  2,  4,  0,  2,  0,  0,  1,  2,  4,  1,  0,  0,  1,  0,  2,  4, 99,  1, 99,  1,  1,  0,  4,  2,  0,  0, 41, 41, 41, 41,  0, 99, 99,  0,  0,  2,  4,  1,  1,  0,  0,  1,  1,  4,  1,  0,  0, 42, 42, 42, 42,  0, 99, 99 |
1,  4,  0,  2, 99,  2,  0,  1,  4,  1,  2, 99, 99, 99, 42, 42, 42, 42,  0, 99, 99,  4,  1,  1,  2,  0,  0,  0,  0,  4,  1,  2,  0,  0,  1,  1,  1,  4,  2,  0,  0,  0,  4,  1,  0,  2,  0,  0,  1,  4,  1,  1,  0,  2,  0,  0,  1,  1,  4,  0,  2,  0,  0,  1,  0,  4,  2,  0,  2,  0 |
0,  0,  1,  1,  0,  0,  2,  0,  0,  1,  1,  0,  0,  2,  0,  0,  1,  1,  0,  0,  1,  0,  0, 41,  1,  0,  0,  2,  0,  0,  1,  1,  0,  0,  2,  0,  0,  1,  1,  0,  0,  1,  0,  0,  1,  1,  0,  0,  2,  0,  0, 41,  1,  0,  0,  2,  0,  0, 41,  1,  0,  0,  1,  0,  0,  1,  1,  0,  0,  2 |
2,  0,  4,  1,  1,  0,  0,  1,  1,  4,  2,  0,  0,  0,  0,  1,  4,  2,  0,  1,  1,  0,  0,  4,  1,  2,  0,  0,  2,  0,  4,  1,  1,  0,  0,  0,  1,  4,  2,  0,  1,  2,  0,  0,  4,  1,  2,  0,  0,  1,  1,  4,  2,  0,  0,  0, 41, 41, 41, 41,  0, 99, 99, 42, 42, 42, 42, 99, 99, 99 |
1,  2,  4,  0,  1,  0,  0,  1,  2,  4,  0,  1, 99, 99,  1,  2,  4,  0,  1,  2,  2,  0,  0,  4,  0,  2, 99, 99, 99,  2,  4,  0,  1, 99, 99,  1,  2,  4,  0,  1, 99, 99, 41, 41, 41, 41,  0, 99, 99, 41, 41, 41, 41,  0, 99, 99, 41, 41, 41, 41,  0, 99, 99,  0,  2,  4,  0,  0,  1,  1 |
1,  2,  4,  0,  0,  1,  1,  0,  1,  4,  1,  2,  0,  0,  1,  2,  4,  0,  1,  0,  0,  1,  2,  0, 42, 42, 99, 99, 99,  1,  4,  1,  1,  0,  0,  1,  2,  4,  0,  0,  1,  1,  0,  1,  4,  1,  2,  0,  0,  1,  2,  4,  1, 99, 99, 99, 43, 43, 43, 43, 99, 99, 99, 43, 43, 43, 43,  0, 99, 99 |
2,  0,  2, 43,  0,  2,  0,  2,  0,  2, 43,  0,  2,  0,  2,  0,  2, 43,  0,  2,  0,  2,  0,  2, 43,  0,  2,  0,  2,  0,  2, 43,  0,  2,  0,  2,  0,  2, 43,  0,  2,  0,  2,  0,  2, 43,  0,  2,  0,  2,  0,  2, 43,  0,  2,  0,  2,  0,  2, 43,  0,  2,  0,  2,  0,  2, 43,  0,  2,  0 |
0, 99,  1,  1,  2,  0,  0,  0,  1,  2,  4,  1, 99, 99,  0, 99,  2,  4,  1,  0,  0,  0,  4,  1,  1,  2, 99, 99,  0,  1,  1,  2,  4,  0,  0,  0,  1,  1,  4,  2,  0,  0, 41, 41, 41,  0,  0, 99, 99, 99,  0,  0,  4,  1,  2,  2,  0,  0,  2,  4,  1,  0,  0,  0,  1,  2,  4,  0,  1,  1 |
0,  0, 41,  0, 41, 99, 99,  2,  0,  1,  0,  1, 99, 99, 42,  0, 42,  0, 42, 99, 99, 48,  0, 48,  0, 48, 99, 99, 48,  0, 48,  0, 48,  0,  0, 48,  0, 48,  0, 48,  0,  0, 48,  0, 48,  0, 48, 99, 99, 48,  0, 48,  0, 48,  0,  0, 48,  0, 48,  0, 48,  0,  0, 48,  0, 48,  0, 48,  0,  0 |
1,  0,  4,  0,  2, 99, 99,  2,  0,  4,  0,  1,  2,  2,  0,  0,  4,  0,  2, 99, 99,  2,  0,  4,  0,  1, 99, 99, 42, 42, 42,  0,  0, 99, 99, 41, 41, 41,  0,  0, 99, 99, 41, 41, 41,  0,  0, 99, 99, 41, 41, 41,  0,  0, 99, 99, 41, 41, 41,  0,  0, 99, 99, 41, 41, 41,  0,  0, 99, 99 |
   45, 45, 45,  0,  0,  0,  0, 45, 45, 45,  0,  0,  0,  0, 45, 45, 45,  0,  0,  0,  0, 45, 45, 45,  0,  0,  0,  0, 45, 45, 45,  0,  0,  0,  0, 45, 45, 45,  0,  0,  0,  0, 45, 45, 45,  0,  0,  0,  0, 45, 45, 45,  0,  0,  0,  0, 45, 45, 45,  0,  0,  0,  0, 45, 45, 45,  0,  0,  0,  0 |
    0,  1,  0,  2,  0,  0,  0,  0,  0,  0,  1,  2,  0,  0,  0,  0,  0,  2,  0,  0,  2,  4,  0,  0,  2,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  4,  4,  4,  4,  0,  0,  0,  4,  4,  4,  4,  0,  0,  0,  0,  0,  0,  2,  0,  0,  2,  0,  0,  0,  1,  2,  0, 42 |
    0,  0,  1,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0 |
